trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_name,trip_sort
2021090,28,4,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,41700
2295020,28,1,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,30000
2295060,28,2,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,30000
3231100,28,7,U.W. HOSPITAL,,0,204X,shp-28-61,1,1,Westbound,40800
3446060,28,2,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,29100
3218090,28,4,U.W. HOSPITAL,,0,105+,shp-28-61,1,1,Westbound,39000
2607020,28,1,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,30900
2548100,28,7,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,33600
2091090,28,4,U.W. HOSPITAL,,0,103+,shp-28-61,1,1,Westbound,34500
2548060,28,2,U.W. HOSPITAL,,0,205X,shp-28-61,1,1,Westbound,33600
1005100,28,7,U.W. HOSPITAL,,0,203X,shp-28-61,1,1,Westbound,37200
2843100,28,7,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,22440
33130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,40440
3569100,28,7,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,44100
1221080,28,10,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,33240
2038100,28,7,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,42240
3569020,28,1,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,44100
1748090,28,4,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,62160
1995060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,58560
1748060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,62160
781090,28,4,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,29460
2549130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,56760
620090,28,4,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,47700
202080,28,10,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,53160
1627130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,45900
1995130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,58560
1627060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,45900
1625090,28,4,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,54960
620060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,47700
1383090,28,4,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,31440
1625130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,54960
1221130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,33240
2183130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,25860
2026020,28,1,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,24240
1625060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,54960
202130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,53160
1748080,28,10,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,62160
781080,28,10,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,29460
